#,Effect Name,Effect Description,Rarity,Category,Scope,Duration,Cycle,Player
202,Lightning Chains,Deal 2 damage to target creature or player. That player or creature's controller may pay R or (2) to copy this effect.,1 - Common,Damage,Player,Instant,Antiquity,Duel
204,Zombie Pop,Each player puts a creature from their graveyard onto the battlefield,1 - Common,Cards,All,Instant,Antiquity,Duel
206,Shield,"You may choose a color. If you do, target creature gains protection from the chosen color. If you don't, target creature gains protection from colourless.",1 - Common,Buff,Creature,Instant,Antiquity,Duel
208,Wicked Self Burn,Discard any number of cards. Target opponent discards the same number of cards.,1 - Common,Cards,"Player, Opponent",Instant,Antiquity,Duel
212,Graverobbing,Choose a creature or artifact from any graveyard and put it onto the battlefield under your control.,1 - Common,Cards,Player,Instant,Grave,Duel
213,Grave Robbers,Target opponent may choose a creature or artifact from your graveyard and put it onto the battlefield under their control.,1 - Common,Cards,Opponent,Instant,Grave,Duel
219,I was a little drunk at the time,"Each player discards a card at random, then discards a card, then draws a card.",1 - Common,Cards,All,Instant,Pink Floyd,Duel
221,Power Surge,Each player gets two energy counters.,1 - Common,Buff,All,Instant,Kaladesh,Duel
222,Power Siphon,Get one energy counter for each opponent. Each opponent loses 1 life.,1 - Common,Damage,All,Instant,Kaladesh,Duel
225,Land Drops,"Search your library for up to two basic lands and put them into play, then shuffle your library.",1 - Common,Tutor,Player,Instant,Antiquity,Duel
226,Arguing with Brandon,Have a staring contest with target opponent. Winner gains control of up to one of loser's creatures.,1 - Common,Wacky,"Player, Opponent",Instant,Dammit Brandon,Duel
241,Bounce,Return target nonland permanent to its owner's hand.,1 - Common,Cards,Target Player,Instant,,Duel
242,Super Bounce,Put target nonland permanent on top of its owner's library.,1 - Common,Cards,Target Player,Instant,,Duel
246,Mini-Haups,"Each player sacrifices one land, creature, and artifact.",1 - Common,Destruction,All,Instant,,Duel
249,Gambit,"You may discard a card at random. If you do, deal X damage to target creature or player, X is equal to the converted mana cost of the discarded card.",1 - Common,Damage,Player,Instant,,Duel
252,Jace Bounce,Put target nonland permanent second from the top of its owner's library.,1 - Common,Cards,Player,Instant,,Duel
257,Sneak Peek,Scry 2. Draw a card.,1 - Common,Cards,Player,Instant,Visual,Duel
258,Urza's Vision Plan,Look at target opponent's hand. Draw a card.,1 - Common,Cards,"Player, Opponent",Instant,Visual,Duel
259,Goblin Optometrist,Look at the top three cards of target opponent's library. Return them in the same order or shuffle opponent's library.,1 - Common,Cards,"Player, Opponent",Instant,Visual,Duel
262,Colour Enhancement,Choose a colour. Creatures of chosen colour gain +2/+2 until end of turn.,1 - Common,Buff,All,Turn,Buff,Duel
263,Tribal Enhancement,Choose a creature type. Creatures of the chosen type gain +2/+2 until end of turn.,1 - Common,Buff,All,Turn,Buff,Duel
264,"Swords, Plows, Whatever",Exile target creature. The creature's controller gains life equal to twice its power.,1 - Common,Life,Creature,Instant,,Duel
272,Visit from the Doctor,Target creature phases out.,1 - Common,Buff,Creature,Instant,,Duel
274,Power Choice,Target opponent chooses: All creatures you control gain [+1/+0] or [+0/+1] until end of turn.,1 - Common,Buff,"Player, Opponent",Turn,,Duel
289,Grunts,Create 1d8 3/1 red/black Orc Marine creature tokens with reach.,1 - Common,Token,Player,Instant,,Duel
294,Party Bob,"Each player reveals the top card of their library, loses life equal to that card's converted mana cost, then puts that card in their hand.",1 - Common,Damage,All,Instant,,Duel
297,Standard Bearer,"Target creature gains ""Every spell and ability that can target this creature must target this creature.""",1 - Common,Buff,Target,Ongoing,,Duel
298,King Me,You become the monarch.,1 - Common,Buff,Player,Instant,,Duel
299,Usurp,Target opponent becomes the monarch.,1 - Common,Buff,Opponent,Instant,,Duel
300,Chaos Ward,"Target creature gains ""Protection from Chaos"".",1 - Common,Buff,Target,Ongoing,,Duel
301,Rekt,Exile target artifact or land.,1 - Common,Destruction,Player,Instant,,Duel
303,Regrowth,Return target card from your graveyard to your hand.,1 - Common,Cards,Player,Instant,,Duel
305,Blind Thief,Put the top card of target opponent's library on top of your library.,1 - Common,Cards,Opponent,Instant,,Duel
310,Deja Vu,"For each player, choose a card from that player's graveyard and put it on top of their library.",1 - Common,Cards,All,Instant,,Duel
313,That Lat-Nam Guy,"Each player shuffles a card from their hand into their library, then draws two cards.",1 - Common,Cards,All,Instant,,Duel
316,Tim,"Create a 1/1 blue Tim creature token with ""T: Deal 1 damage to target creature or player.""",1 - Common,Token,Player,Instant,,Duel
326,Annoyance,Tap any number of target players. Draw a card.,1 - Common,Wacky,All,Instant,,Duel
328,Sickness,Target creature gets -1/-1 until end of turn. Draw a card.,1 - Common,Buff,Player,Turn,,Duel
329,Health,Target creature gets +1/+1 until end of turn. Draw a card.,1 - Common,Buff,Player,Turn,,Duel
331,Savant,"Target creature gains ""T: Draw a card."".",1 - Common,Buff,Creature,Ongoing,,Duel
332,Distraction,Target creature cannot attack or block this turn. Draw a card.,1 - Common,Buff,Player,Turn,,Duel
338,Questionable Leftovers,You get two poison counters.,1 - Common,Damage,Player,Instant,,Duel
340,Shellfish Allergy,Target player gets two poison counters.,1 - Common,Damage,Player,Instant,,Multi
342,Venomous Implants,Target creature gains infect.,1 - Common,Buff,Creature,Ongoing,,Duel
346,Juice Cleanse,"You may discard as many cards as you wish. For each card discarded in this way, remove 1 poison counter.",1 - Common,Cards,Player,Instant,,Duel
348,"Snakes, Why'd It Have To Be Snakes?",Create 1d6 2/2 green/black Snake creature tokens with infect.,1 - Common,Token,Player,Instant,,Duel
351,Hand Grenade,Discard your hand. Deal 2 damage to target creature or player for each card discarded. Draw 4 cards.,1 - Common,Damage,Player,Instant,,Duel
359,Chaos Orb Redux,"Choose a card in play that you control. Flip this card onto the battlefield from a height of at least one foot. If the card turns over completely at least once during the flip, destroy all nontoken permanents it touches. Then destroy the card.",1 - Common,Destruction,Player,Instant,,Duel
362,Life Things,Target opponent chooses: [You gain 4 life.] or [Return a creature from your graveyard to the battlefield.],1 - Common,Life,Player,Instant,,Duel
363,Dangerous Things,"Target opponent chooses: [Create a white 1/4 Bastion creature token with flying, first strike, and defender.] or [Create a black 4/1 Hordes creature token with menace, double strike, and haste.]",1 - Common,Token,Player,Instant,,Duel
364,Handy Things,Target opponent chooses: [Draw 3 cards.] or [Target opponent discards 2 cards.],1 - Common,Cards,Player,Instant,,Duel
365,Bonus Things,Target opponent chooses: [Create 1d3 blue 2/1 Hawk creature tokens with flying.] or [Distribute 1d4 +1/+1 counters on creatures you control.],1 - Common,Token,Player,Instant,,Duel
366,Painful Things,Target opponent chooses: [Deal 3 damage to target creature or player.] or [Deal 2 damage each to up to two target creatures or players.],1 - Common,Damage,Player,Instant,,Duel
368,Boon/Bane,Flip a coin. Heads: Put a +1/+1 counter on all creatures. Tails: Put a -1/-1 counter on all creatures.,1 - Common,Buff,All,Instant,,Duel
369,Blast/Bounce,Flip a coin. Heads: Exile target creature. Tails: Return target creature to its owner's hand.,1 - Common,Cards,Player,Instant,,Duel
370,Non-standard Bounce,Return target creature to controller's hand.,1 - Common,Cards,Player,Instant,,Duel
371,Really Non-standard Bounce,Put target creature into target player's hand.,1 - Common,Cards,Player,Instant,,Duel
372,Land-cycling,"Destroy up to five target lands. For each land destroyed this way, its controller searches their library for a land, puts it onto the battlefield, then shuffles their library.",1 - Common,Destruction,Player,Instant,,Duel
373,Enemies with Benefits,Two target opponents switch life totals.,1 - Common,Meta,Opponent,Instant,,Multi
374,Who Let the Flock Out?,"Each player creates 1d3 0/1 white/black Exploding Sheep creature tokens with delicious and ""When this creature is blocked, flip a coin. Heads: Sacrifice Exploding Sheep, it deals 2 damage to a creature that blocked it.""",1 - Common,Token,All,Instant,,Duel
380,Knightly Things,Target opponent chooses: [Create a 2/2 black Black Knight creature token with first strike and protection from white.] or [Create a 2/2 white White Knight creature token with first strike and protection from black.],1 - Common,Token,Player,Instant,,Duel
383,Secret Tunnels,Target creature can't be blocked this turn.,1 - Common,Buff,Player,Turn,,Duel
384,"Ooh, Shiny!",Target creature can't block this turn.,1 - Common,Buff,Player,Turn,,Duel
385,Lawbreakers,"Up to two target creatures gain ""If this creature deals combat damage to a player, that player discards a card and this creature's controller draws a card."" until end of turn.",1 - Common,Cards,Player,Turn,,Duel
386,Cops,"Detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)",1 - Common,Cards,Opponent,Turn,,Duel
387,Giftbearers,"Whenever you cast a creature from your hand this turn, gain 2 life and draw a card.",1 - Common,Cards,Player,Turn,,Duel
393,By Order of the Emperor,Creatures you control gain bushido 1 until end of turn.,1 - Common,Buff,Player,Turn,,Duel
001,Dave's Generosity,"All players search their libraries for a basic land and put it into play tapped, then shuffle their library.",1 - Common,Tutor,All,Instant,Scappoose,Duel
003,Toby's Vengeance,All players lose 3 life.,1 - Common,Damage,All,Instant,Scappoose,Duel
006,Dave's Accelerator,All creatures gain +2/+0 when attacking until end of turn.,1 - Common,Buff,All,Turn,Scappoose,Duel
009,Jeanetic Manipulation,Target creature gains denimwalk.,1 - Common,Buff,Creature,Ongoing,Puns,Duel
013,Trampoline Party,Creatures you control gain flying until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
014,Sticks and Stilts,Creatures you control gain reach until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
016,Mosh Pit,Creatures you control gain trample until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
023,Polearm Practice,Creatures you control gain first strike until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
025,Hogwarts Invitations,Creatures you control gain prowess until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
026,Extra Coffee Rations,Creatures you control gain vigilance until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
028,Siphonophores,Creatures you control gain lifelink until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
029,Something Clever,Creatures you control gain hexproof until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
031,Amphetamines,Creatures that enter the battlefield under your control this turn gain haste.,1 - Common,Buff,Player,Turn,Basics,Duel
032,Pyroclasm,All creatures take 2 damage.,1 - Common,Damage,All,Instant,Basics,Duel
033,Pyroclasm Squared,All creatures take 4 damage.,1 - Common,Damage,All,Instant,Basics,Duel
035,Stream of Life,Gain 1d10 life.,1 - Common,Life,Player,Instant,Basics,Duel
045,Fear!,Creatures you control gain intimidate until end of turn.,1 - Common,Buff,Player,Turn,Spanish Inquisition,Duel
049,The Comfy Chair!,Tap target player.,1 - Common,Wacky,Target Player,Instant,Spanish Inquisition,Duel
051,Call Stu,Switch life totals with target opponent.,1 - Common,Life,"Player, Opponent",Instant,Shop'n'Swap,Duel
060,Juxtapose,Exchange control of target creature you control and target creature an opponent controls.,1 - Common,Meta,"Player, Opponent",Instant,Shop'n'Swap,Duel
074,"Yay, Draw!",Draw three cards.,1 - Common,Cards,Player,Instant,Basics,Duel
075,"Meh, Draw",You and target opponent each draw three cards.,1 - Common,Cards,"Player, Opponent",Instant,Basics,Duel
076,"Boo, Draw",Each opponent draws three cards.,1 - Common,Cards,Opponent,Instant,Basics,Duel
077,"Yay, Life!",Gain four life.,1 - Common,Life,Player,Instant,Basics,Duel
078,"Meh, Life",You and target opponent each gain four life.,1 - Common,Life,"Player, Opponent",Instant,Basics,Duel
079,"Boo, Life",Each opponent gains four life.,1 - Common,Life,Opponent,Instant,Basics,Duel
080,"Yay, Counters!",Distribute two +1/+1 counters among creatures you control.,1 - Common,Buff,Player,Instant,Basics,Duel
081,"Meh, Counters",Distribute two +1/+1 counters among creatures you control. Target opponent distributes two +1/+1 counters among creatures they control.,1 - Common,Buff,"Player, Opponent",Instant,Basics,Duel
082,"Boo, Counters",Each opponent distributes two +1/+1 counters among creatures they control.,1 - Common,Buff,Opponent,Instant,Basics,Duel
083,"Yay, Mill!",Each opponent puts the top two cards of their library into their graveyard.,1 - Common,Cards,Opponent,Instant,Basics,Duel
084,"Meh, Mill",Put the top two cards of your library into your graveyard. Target opponent puts the top two cards of their library into their graveyard.,1 - Common,Cards,"Player, Opponent",Instant,Basics,Duel
085,"Boo, Mill",Put the top two cards of your library into your graveyard.,1 - Common,Cards,Player,Instant,Basics,Duel
086,"Yay, Tourach!",Each opponent discards two cards at random.,1 - Common,Cards,Opponent,Instant,Basics,Duel
087,"Meh, Tourach",You and target opponent each discard two cards at random.,1 - Common,Cards,"Player, Opponent",Instant,Basics,Duel
088,"Boo, Tourach",Discard two cards at random,1 - Common,Cards,Player,Instant,Basics,Duel
090,Clone,Choose a target nontoken creature. Put a token copy of that creature into play under your control.,1 - Common,Token,Player,Instant,Science,Duel
094,Draw Two,Draw two cards.,1 - Common,Cards,Player,Instant,Uno,Duel
095,Draw Four,Draw four cards.,1 - Common,Cards,Player,Instant,Uno,Duel
099,Leng,Skip your discard phase.,1 - Common,Meta,Player,Instant,Basics,Duel
107,Dark Harvest,"Each player may exile a creature from their graveyard. If they do, they gain life equal to the exiled creature's toughness.",1 - Common,Life,All,Instant,Basics,Duel
108,We're Ba-ack!,Each player places all exiled cards they own on the bottom of their library in any order.,1 - Common,Cards,All,Instant,References,Duel
112,Oddly Specific Nuke,Name a nonland card. Destroy all copies of the named card in play.,1 - Common,Destruction,All,Instant,Nukes,Duel
119,Assassin's Creed,Destroy target tapped creature.,1 - Common,Destruction,Player,Instant,Basics,Duel
120,Living Lands,All lands become 2/2 creatures in addition to being lands until end of turn.,1 - Common,Cards,All,Turn,Basics,Duel
123,Lockdown,Tap three target creatures. These creatures do not untap during their controller's next untap step.,1 - Common,Cards,Player,Instant,Basics,Duel
134,Another Round,"Target player may refill your drink. If they do not, they lose 6 life. If you do not have a drink, slake your thirst for knowledge and draw three cards instead.",1 - Common,Wacky,"Player, Opponent",Instant,Rounders,Duel
141,Blood Tutor,"You may pay 2 life. If you do, search your library for a card and put it in your hand, then shuffle your library.",1 - Common,Tutor,Player,Instant,Tudors,Duel
142,Archeology Tutor,"You may sacrifice a land. If you do, search your library for a card and put it in your hand, then shuffle your library.",1 - Common,Tutor,Player,Instant,Tudors,Duel
143,Surgical Tutor,"You may sacrifice a creature. If you do, search your library for a card and put it in your hand, then shuffle your library.",1 - Common,Tutor,Player,Instant,Tudors,Duel
144,Tinker Tutor,"You may sacrifice an artifact. If you do, search your library for a card and put it in your hand, then shuffle your library.",1 - Common,Tutor,Player,Instant,Tudors,Duel
150,Soul Siphon,Each opponent loses 2 life. You gain life equal to the life lost from this effect.,1 - Common,Damage,All,Instant,Basics,Duel
151,Seeker of Storms,Each player loses 1 life for every card in their hand.,1 - Common,Damage,All,Instant,Basics,Duel
157,Sneaky Shadows of Stealthy Secrets,Creatures you control gain skulk until end of turn.,1 - Common,Buff,Player,Turn,Basics,Duel
181,Phyrexian Oil Spill,Double the number of each kind of counter on each permanent that has counters on it. Proliferate.,1 - Common,Buff,Player,Instant,Phyrexia,Duel
183,Munchies,Target creature gains snackwalk.,1 - Common,Buff,Player,Ongoing,Party,Duel
191,Swap Meet,Exchange a random card in your hand with a random card in target opponent's hand.,1 - Common,Cards,"Player, Opponent",Instant,Shop'n'Swap,Duel
192,Dresden's Bracelet,"Create a colourless Bracelet artifact token with ""Remove a Talisman counter from Bracelet: Prevent all damage a source of your choice would deal to you or a planeswalker you control."" Put four Talisman counters on Bracelet.",1 - Common,Token,Player,Instant,Armour,Duel
194,Minion Siphon,Each player gains 1 life for each creature they control. Deal 1 damage to each creature.,1 - Common,Damage,All,Instant,Basics,Duel
196,Escalating Pain,"Choose three target creatures, planeswalkers, or players. Deal 1 damage to the first target, 2 to the second, and 3 to the third.",1 - Common,Damage,Player,Instant,Basics,Duel
197,Increasing Health,"Choose three target players. The first target gains 1 life, the second gains 2, the third gains 3.",1 - Common,Life,Player,Instant,Basics,Multi
198,Growing Knowledge,"Choose three target players. The first target draws 1 card. the second draws 2, the third draws 3.",1 - Common,Cards,Player,Instant,Basics,Multi
199,Rising Fury,"Choose three target creatures. Put one +1/+1 counter on the first, two +1/+1 counters on the second, three +1/+1 counters on the third.",1 - Common,Buff,Player,Instant,Basics,Duel
201,Recycling,Shuffle any number of creatures from your graveyard into your library. Draw a card.,2 - Uncommon,Cards,Player,Instant,Antiquity,Duel
203,Negation Round,"Until the start of your next turn, all creatures in play and any that enter the battlefield lose their abilities.",2 - Uncommon,Cards,All,Round,Antiquity,Duel
210,Raid the Library,"Until the start of your next turn, all players skip their discard phase. Each player draws 2d6 cards.",2 - Uncommon,Cards,All,Round,Antiquity,Duel
211,Luck of the Draw,"Each player names a card and then reveals the top card of their library. If they reveal the named card, they may put it onto the battlefield. Otherwise, they put the card on the bottom of their library and they lose 1 life.",2 - Uncommon,Cards,All,Instant,Antiquity,Duel
214,Grave Robin Hood,Each player with the lowest life total may choose a creature from any graveyard and put it onto the battlefield under their control.,2 - Uncommon,Cards,All,Instant,Grave,Duel
215,Grave Sheriff,Choose a creature or artifact from any graveyard and put it onto the battlefield under target opponent's control.,2 - Uncommon,Cards,Player,Instant,Grave,Duel
216,Group Think,Each player draws a card for each creature they control.,2 - Uncommon,Cards,All,Instant,Antiquity,Duel
223,Power Outage,Each player loses four energy counters.,2 - Uncommon,Destruction,All,Instant,Kaladesh,Duel
227,Silly English Knnnnnnuggets,"Until the end of your turn, you may speak in an outrageous accent. If you do not, sacrifice two creatures chosen by target opponent.",2 - Uncommon,Wacky,Player,Turn,,Duel
228,Exploration,Create a token land of each basic land type (including Wastes).,2 - Uncommon,Token,Player,Instant,,Duel
229,Trade!,"Choose an unchosen opponent. Look at their hand and choose a card. That opponent may copy this effect and choose a new unchosen player. Once all players have been chosen or the effect is not copied, each player puts the card they chose into their hand.",2 - Uncommon,Cards,All,Instant,,Duel
231,Rolling Dice of Thunder,"Choose three target creatures or players. Deal 1d4 damage to the first, 1d6 damage to the second, and 1d8 damage to the third.",2 - Uncommon,Damage,Player,Instant,,Duel
232,Tranquility,Destroy all enchantments.,2 - Uncommon,Destruction,All,Instant,,Duel
233,Aluren Round,"Until the start of your next turn, all players may play creatures with a CMC of 3 or less without paying their casting cost any time they could play an instant.",2 - Uncommon,Cards,All,Round,,Duel
235,Bowser,Flip a coin: Heads: Each player with the highest life total loses 5 life. Tails: Each player with the lowest life total gains 5 life.,2 - Uncommon,Life,All,Instant,,Duel
236,Return of the Weenies,All creatures with power and toughness 2 or below in all graveyards are returned to battlefield under their owner's control.,2 - Uncommon,Cards,All,Instant,,Duel
237,Alzheimer's,Look at target player's hand and choose three cards. Put those cards on top of their owner's library in any order.,2 - Uncommon,Cards,Target Player,Instant,,Duel
239,Risky Tutor,"You may search your library for a card and put it in your hand. If you do, shuffle your library, then discard a card at random.",2 - Uncommon,Cards,Player,Instant,,Duel
243,Acceleration Round,"Until the start of your next turn, each player flips a coin during their upkeep. Heads: that player draws 2 cards. Tails: that player draws 1 card.",2 - Uncommon,Cards,All,Round,,Duel
245,A Simple Wager,You and target opponent each exile a card from hand. Flip a coin. Heads: you put both cards in your hand. Tails: opponent puts both cards in their hand.,2 - Uncommon,Cards,"Player, Opponent",Instant,,Duel
251,Super Generousity,"All players search their libraries for up to three basic lands and put them into play tapped, then shuffle their library.",2 - Uncommon,Cards,All,Instant,,Duel
253,It's Dangerous to Go Alone,Create a 2/3 green Hylian Hero creature token with first strike.,2 - Uncommon,Token,Player,Instant,Reference,Duel
255,Cake or Death,Choose one: [Gain 5 life.] or [Deal 5 damage divided as you choose among any number of creatures or players.],2 - Uncommon,Life,All,Instant,Player Choice,Duel
260,Q Branch Gadget,"Target creature gains your choice of one of the following: first strike, skulk, or hexproof.",2 - Uncommon,Buff,Player,Ongoing,Bond,Duel
261,Q Branch Gizmo,"Target creature gains your choice of one of the following: trample, flying, or menace.",2 - Uncommon,Buff,Player,Ongoing,Bond,Duel
265,Creature Wipe,Destroy all creatures.,2 - Uncommon,Destruction,All,Instant,,Duel
266,Creature Bounce,Return all creatures to their owner's hand.,2 - Uncommon,Cards,All,Instant,,Duel
267,Creature Purge,Exile all creatures.,2 - Uncommon,Destruction,All,Instant,,Duel
271,License to Kill,"Create a 1/1 black Bond creature token with hexproof, undying, and ""T: Destroy target tapped creature.""",2 - Uncommon,Token,Player,Instant,Bond,Duel
273,Doctor's Visit,Destroy all auras that do not share a controller with their target.,2 - Uncommon,Destruction,All,Instant,,Duel
